No13_AGB_0,AGB
No13_AGB_0.001,AGB
No13_AGB_0.004,AGB
No13_AGB_0.008,AGB
No13_AGB_0.02,AGB
K10_AGB_0.02,AGB
K10_AGB_0.0001,AGB
K10_AGB_0.004,AGB
K10_AGB_0.008,AGB
Le25_A22S03_0,SNCC,OK
Ch04_0,SNCC
Ch04_1E-6,SNCC
Ch04_1E-4,SNCC
Ch04_1E-3,SNCC
Ch04_6E-3,SNCC
Ch04_2E-2,SNCC
No06_0,SNCC
No06_0.001,SNCC
No06_0.004,SNCC
No06_0.02,SNCC
No13_SNcc_0,SNCC
No13_SNcc_0.001,SNCC
No13_SNcc_0.004,SNCC
No13_SNcc_0.008,SNCC
No13_SNcc_0.02,SNCC
No13_SNcc_0.05,SNCC
No13_PISNe_0,SNCC
No13_SNe_0,SNCC
No13_HNe_0,SNCC,HY
No13_HNe_0.001,SNCC,HY
No13_HNe_0.004,SNCC,HY
No13_HNe_0.008,SNCC,HY
No13_HNe_0.02,SNCC,HY
No13_HNe_0.05,SNCC,HY
He0210_SNcc_0,SNCC
He0210_PISNe_0,SNCC
He0210_SNe_0,SNCC
Su16_N20,SNCC
Su16_W18,SNCC,
Ro10_0,SNCC,
Ro10_0.000002,SNCC,
Ro10_0.0002,SNCC,
Ro10_0.02,SNCC,
Ro10_0.002,SNCC,
Iw99_W7,SN1A,DEFLAGRATION,NMCH
Iw99_W7new,SN1A,DEFLAGRATION,NMCH
Iw99_W70,SN1A,DEFLAGRATION,NMCH
Iw99_WDD1,SN1A,DD,DETONATION,NMCH
Iw99_WDD2,SN1A,DD,DETONATION,NMCH
Iw99_WDD3,SN1A,DD,DETONATION,NMCH
Iw99_CDD1,SN1A,DD,DETONATION,NMCH
Iw99_CDD2,SN1A,DD,DETONATION,NMCH
Ba06_DDTa,SN1A,DD,DETONATION,NMCH
Ba06_DDTb,SN1A,DD,DETONATION,NMCH
Ba06_DDTc,SN1A,DD,DETONATION,NMCH
Ba06_DDTd,SN1A,DD,DETONATION,NMCH
Ba06_DDTe,SN1A,DD,DETONATION,NMCH
Ba06_DDTf,SN1A,DD,DETONATION,NMCH
Le18_500-0.5-c3,SN1A,DD,DETONATION,NMCH
Le18_500-0-c3,SN1A,DD,DETONATION,NMCH
Le18_500-1-c3,SN1A,DD,DETONATION,NMCH
Le18_500-2-c3,SN1A,DD,DETONATION,NMCH
Le18_500-3-c3,SN1A,DD,DETONATION,NMCH
Le18_500-5-c3,SN1A,DD,DETONATION,NMCH
Si10_det_0.81,SN1A,DETONATION,SMCH
Si10_det_0.88,SN1A,DETONATION,SMCH
Si10_det_0.97,SN1A,DETONATION,SMCH
Si10_det_1.06_0.075Ne,SN1A,DETONATION,SMCH
Si10_det_1.06,SN1A,DETONATION,SMCH
Si10_det_1.15,SN1A,DETONATION,SMCH
Si10_CSDD-L,SN1A,DD,DETONATION,SMCH
Si10_CSDD-S,SN1A,DD,DETONATION,SMCH
Si10_ELDD-L,SN1A,DD,DETONATION,SMCH
Si10_ELDD-S,SN1A,DD,DETONATION,SMCH
Si10_HeD-L,SN1A,DETONATION,SMCH
Si10_HeD_S,SN1A,DETONATION,SMCH
Si12_CSDD-L,SN1A,D2,DETONATION,SMCH
Si12_CSDD-S,SN1A,D2,DETONATION,SMCH
Si12_ELDD-L,SN1A,D2,DETONATION,SMCH
Si12_ELDD-S,SN1A,D2,DETONATION,SMCH
Si12_HeD-L,SN1A,D2,DETONATION,SMCH
Si12_HeD-S,SN1A,D2,DETONATION,SMCH
Kr13_09_076,SN1A,SMCH
Kr13_09_076_Z0.01,SN1A,SMCH
Oh14_DDT8_N100_c50,SN1A,DD
Oh14_DDT8_N100_rpc20,SN1A,DD
Oh14_DDT8_N100_rpc32,SN1A,DD
Oh14_DDT8_N100_rpc40,SN1A,DD
Ma15_CO15e7,SN1A,DETONATION,SMCH
Ma15_ONe10e7,SN1A,DETONATION,SMCH
Ma15_ONe13e7,SN1A,DETONATION,SMCH
Ma15_ONe15e7,SN1A,DETONATION,SMCH
Ma15_ONe17e7,SN1A,DETONATION,SMCH
Ma15_ONe20e7,SN1A,DETONATION,SMCH
Kr15_N5_hybrid,SN1A,DEFLAGRATION,NMCH
Se16_GCD200,SN1A,DETONATION,NMCH
Thielemann_03,SN1A
Thielemann_03_mod,SN1A
